lab,subid,subid_unique,trial_order,trial_num,trial_type,stimulus_num,method,age_days,age_mo,age_group,nae,gender,second_session,looking_time,missing
babylabumassb,mbpumb001122522,babylabumassb:mbpumb001122522,1,1,IDS,1,eyetracking,352,11.564681724845997,9-12 mo,TRUE,F,TRUE,12.55,FALSE
babylabumassb,mbpumb007082569,babylabumassb:mbpumb007082569,3,1,IDS,5,eyetracking,256,8.410677618069816,6-9 mo,TRUE,F,TRUE,16.4267,FALSE
babylabumassb,mbpumb029102634,babylabumassb:mbpumb029102634,1,1,IDS,1,eyetracking,291,9.560574948665298,9-12 mo,TRUE,M,TRUE,8.4333,FALSE
babylabumassb,mbpumb039112655,babylabumassb:mbpumb039112655,3,1,IDS,5,eyetracking,348,11.433264887063656,9-12 mo,TRUE,M,TRUE,7.9667,FALSE
babylabutrecht,804,babylabutrecht:804,4,1,ADS,5,hpp,272,8.936344969199178,6-9 mo,FALSE,M,TRUE,16.632828,FALSE
babylabutrecht,807,babylabutrecht:807,3,1,IDS,5,hpp,256,8.410677618069816,6-9 mo,FALSE,M,TRUE,15.956142,FALSE
babylabutrecht,808,babylabutrecht:808,4,1,ADS,5,hpp,248,8.147843942505133,6-9 mo,FALSE,M,TRUE,17.999383,FALSE
babylingoslo,os022,babylingoslo:os022,1,1,IDS,1,eyetracking,239,7.852156057494867,6-9 mo,FALSE,M,TRUE,2.37,FALSE
babylingoslo,os025,babylingoslo:os025,1,1,IDS,1,eyetracking,221,7.260780287474333,6-9 mo,FALSE,F,TRUE,2.07,FALSE
babylingoslo,os026,babylingoslo:os026,1,1,IDS,1,eyetracking,268,8.804928131416839,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os028,babylingoslo:os028,3,1,IDS,5,eyetracking,218,7.162217659137577,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os029,babylingoslo:os029,4,1,ADS,5,eyetracking,267,8.772073921971252,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os030,babylingoslo:os030,2,1,ADS,1,eyetracking,243,7.983572895277208,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os031,babylingoslo:os031,3,1,IDS,5,eyetracking,249,8.180698151950718,6-9 mo,FALSE,F,TRUE,9.15,FALSE
babylingoslo,os032,babylingoslo:os032,4,1,ADS,5,eyetracking,245,8.049281314168377,6-9 mo,FALSE,M,TRUE,8.1,FALSE
babylingoslo,os033,babylingoslo:os033,1,1,IDS,1,eyetracking,184,6.04517453798768,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os034,babylingoslo:os034,2,1,ADS,1,eyetracking,184,6.04517453798768,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os035,babylingoslo:os035,3,1,IDS,5,eyetracking,184,6.04517453798768,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os036,babylingoslo:os036,4,1,ADS,5,eyetracking,186,6.11088295687885,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os038,babylingoslo:os038,3,1,IDS,5,eyetracking,238,7.819301848049282,6-9 mo,FALSE,M,TRUE,4.96,FALSE
babylingoslo,os039,babylingoslo:os039,4,1,ADS,5,eyetracking,188,6.176591375770021,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os040,babylingoslo:os040,2,1,ADS,1,eyetracking,194,6.373716632443532,6-9 mo,FALSE,M,TRUE,7.9,FALSE
babylingoslo,os041,babylingoslo:os041,2,1,ADS,1,eyetracking,236,7.753593429158111,6-9 mo,FALSE,M,TRUE,NA,TRUE
cfnuofn,cflgts,cfnuofn:cflgts,2,1,ADS,1,eyetracking,387,12.714579055441478,12-15 mo,FALSE,F,TRUE,5.08,FALSE
cfnuofn,cfn007,cfnuofn:cfn007,2,1,ADS,1,eyetracking,205,6.7351129363449695,6-9 mo,FALSE,M,TRUE,4.46,FALSE
cfnuofn,cfn008,cfnuofn:cfn008,4,1,ADS,5,eyetracking,192,6.308008213552362,6-9 mo,FALSE,F,TRUE,17.37,FALSE
cfnuofn,cfn017,cfnuofn:cfn017,2,1,ADS,1,eyetracking,188,6.176591375770021,6-9 mo,FALSE,F,TRUE,NA,TRUE
cfnuofn,cfn020,cfnuofn:cfn020,1,1,IDS,1,eyetracking,178,5.848049281314168,3-6 mo,FALSE,F,TRUE,15.48,FALSE
cfnuofn,cfn025,cfnuofn:cfn025,3,1,IDS,5,eyetracking,190,6.242299794661191,6-9 mo,FALSE,F,TRUE,4.92,FALSE
cfnuofn,cfn047,cfnuofn:cfn047,3,1,IDS,5,eyetracking,371,12.188911704312115,12-15 mo,FALSE,M,TRUE,3.87,FALSE
cfnuofn,cfnaew,cfnuofn:cfnaew,1,1,IDS,1,eyetracking,383,12.583162217659138,12-15 mo,FALSE,F,TRUE,9.62,FALSE
cfnuofn,cfnbfi12m,cfnuofn:cfnbfi12m,3,1,IDS,5,eyetracking,416,13.66735112936345,12-15 mo,FALSE,M,TRUE,5.01,FALSE
cfnuofn,cfngrn,cfnuofn:cfngrn,3,1,IDS,5,eyetracking,383,12.583162217659138,12-15 mo,FALSE,M,TRUE,NA,TRUE
cfnuofn,cfnjfl6m,cfnuofn:cfnjfl6m,4,1,ADS,5,eyetracking,195,6.406570841889117,6-9 mo,FALSE,M,TRUE,15.31,FALSE
cfnuofn,cfnkji,cfnuofn:cfnkji,4,1,ADS,5,eyetracking,406,13.338809034907598,12-15 mo,FALSE,F,TRUE,10.11,FALSE
cfnuofn,cfnois,cfnuofn:cfnois,3,1,IDS,5,eyetracking,190,6.242299794661191,6-9 mo,FALSE,M,TRUE,5.66,FALSE
cfnuofn,cfnuex,cfnuofn:cfnuex,2,1,ADS,1,eyetracking,392,12.878850102669405,12-15 mo,FALSE,M,TRUE,17.07,FALSE
cfnuofn,cfnxpp12,cfnuofn:cfnxpp12,3,1,IDS,5,eyetracking,391,12.845995893223819,12-15 mo,FALSE,F,TRUE,13.27,FALSE
infantcogubc,lf22,infantcogubc:lf22,3,1,IDS,5,singlescreen,146,4.7967145790554415,3-6 mo,TRUE,M,TRUE,9.1,FALSE
infantstudiesubc,mbm10,infantstudiesubc:mbm10,2,1,IDS,5,hpp,227,7.457905544147844,6-9 mo,TRUE,M,TRUE,13.27993333,FALSE
infantstudiesubc,mbm7,infantstudiesubc:mbm7,3,1,IDS,5,hpp,228,7.490759753593429,6-9 mo,TRUE,M,TRUE,17.017,FALSE
babylabumassb,mbpumb001122522,babylabumassb:mbpumb001122522,1,2,ADS,1,eyetracking,352,11.564681724845997,9-12 mo,TRUE,F,TRUE,13.6367,FALSE
babylabumassb,mbpumb007082569,babylabumassb:mbpumb007082569,3,2,ADS,5,eyetracking,256,8.410677618069816,6-9 mo,TRUE,F,TRUE,3.8633,FALSE
babylabumassb,mbpumb029102634,babylabumassb:mbpumb029102634,1,2,ADS,1,eyetracking,291,9.560574948665298,9-12 mo,TRUE,M,TRUE,NA,TRUE
babylabumassb,mbpumb039112655,babylabumassb:mbpumb039112655,3,2,ADS,5,eyetracking,348,11.433264887063656,9-12 mo,TRUE,M,TRUE,2.3333,FALSE
babylabutrecht,804,babylabutrecht:804,4,2,IDS,5,hpp,272,8.936344969199178,6-9 mo,FALSE,M,TRUE,9.041354,FALSE
babylabutrecht,807,babylabutrecht:807,3,2,ADS,5,hpp,256,8.410677618069816,6-9 mo,FALSE,M,TRUE,16.517451,FALSE
babylabutrecht,808,babylabutrecht:808,4,2,IDS,5,hpp,248,8.147843942505133,6-9 mo,FALSE,M,TRUE,14.73152,FALSE
babylingoslo,os022,babylingoslo:os022,1,2,ADS,1,eyetracking,239,7.852156057494867,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os025,babylingoslo:os025,1,2,ADS,1,eyetracking,221,7.260780287474333,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os026,babylingoslo:os026,1,2,ADS,1,eyetracking,268,8.804928131416839,6-9 mo,FALSE,M,TRUE,2.82,FALSE
babylingoslo,os028,babylingoslo:os028,3,2,ADS,5,eyetracking,218,7.162217659137577,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os029,babylingoslo:os029,4,2,IDS,5,eyetracking,267,8.772073921971252,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os030,babylingoslo:os030,2,2,IDS,1,eyetracking,243,7.983572895277208,6-9 mo,FALSE,M,TRUE,7.37,FALSE
babylingoslo,os031,babylingoslo:os031,3,2,ADS,5,eyetracking,249,8.180698151950718,6-9 mo,FALSE,F,TRUE,2.32,FALSE
babylingoslo,os032,babylingoslo:os032,4,2,IDS,5,eyetracking,245,8.049281314168377,6-9 mo,FALSE,M,TRUE,5.16,FALSE
babylingoslo,os033,babylingoslo:os033,1,2,ADS,1,eyetracking,184,6.04517453798768,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os034,babylingoslo:os034,2,2,IDS,1,eyetracking,184,6.04517453798768,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os035,babylingoslo:os035,3,2,ADS,5,eyetracking,184,6.04517453798768,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os036,babylingoslo:os036,4,2,IDS,5,eyetracking,186,6.11088295687885,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os038,babylingoslo:os038,3,2,ADS,5,eyetracking,238,7.819301848049282,6-9 mo,FALSE,M,TRUE,2.01,FALSE
babylingoslo,os039,babylingoslo:os039,4,2,IDS,5,eyetracking,188,6.176591375770021,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os040,babylingoslo:os040,2,2,IDS,1,eyetracking,194,6.373716632443532,6-9 mo,FALSE,M,TRUE,3.33,FALSE
babylingoslo,os041,babylingoslo:os041,2,2,IDS,1,eyetracking,236,7.753593429158111,6-9 mo,FALSE,M,TRUE,NA,TRUE
cfnuofn,cflgts,cfnuofn:cflgts,2,2,IDS,1,eyetracking,387,12.714579055441478,12-15 mo,FALSE,F,TRUE,4.91,FALSE
cfnuofn,cfn007,cfnuofn:cfn007,2,2,IDS,1,eyetracking,205,6.7351129363449695,6-9 mo,FALSE,M,TRUE,NA,TRUE
cfnuofn,cfn008,cfnuofn:cfn008,4,2,IDS,5,eyetracking,192,6.308008213552362,6-9 mo,FALSE,F,TRUE,14.74,FALSE
cfnuofn,cfn017,cfnuofn:cfn017,2,2,IDS,1,eyetracking,188,6.176591375770021,6-9 mo,FALSE,F,TRUE,NA,TRUE
cfnuofn,cfn020,cfnuofn:cfn020,1,2,ADS,1,eyetracking,178,5.848049281314168,3-6 mo,FALSE,F,TRUE,18,FALSE
cfnuofn,cfn025,cfnuofn:cfn025,3,2,ADS,5,eyetracking,190,6.242299794661191,6-9 mo,FALSE,F,TRUE,8.77,FALSE
cfnuofn,cfn047,cfnuofn:cfn047,3,2,ADS,5,eyetracking,371,12.188911704312115,12-15 mo,FALSE,M,TRUE,4.74,FALSE
cfnuofn,cfnaew,cfnuofn:cfnaew,1,2,ADS,1,eyetracking,383,12.583162217659138,12-15 mo,FALSE,F,TRUE,4.73,FALSE
cfnuofn,cfnbfi12m,cfnuofn:cfnbfi12m,3,2,ADS,5,eyetracking,416,13.66735112936345,12-15 mo,FALSE,M,TRUE,2.02,FALSE
cfnuofn,cfngrn,cfnuofn:cfngrn,3,2,ADS,5,eyetracking,383,12.583162217659138,12-15 mo,FALSE,M,TRUE,NA,TRUE
cfnuofn,cfnjfl6m,cfnuofn:cfnjfl6m,4,2,IDS,5,eyetracking,195,6.406570841889117,6-9 mo,FALSE,M,TRUE,4.63,FALSE
cfnuofn,cfnkji,cfnuofn:cfnkji,4,2,IDS,5,eyetracking,406,13.338809034907598,12-15 mo,FALSE,F,TRUE,9.7,FALSE
cfnuofn,cfnois,cfnuofn:cfnois,3,2,ADS,5,eyetracking,190,6.242299794661191,6-9 mo,FALSE,M,TRUE,6.68,FALSE
cfnuofn,cfnuex,cfnuofn:cfnuex,2,2,IDS,1,eyetracking,392,12.878850102669405,12-15 mo,FALSE,M,TRUE,8.02,FALSE
cfnuofn,cfnxpp12,cfnuofn:cfnxpp12,3,2,ADS,5,eyetracking,391,12.845995893223819,12-15 mo,FALSE,F,TRUE,3.22,FALSE
infantcogubc,lf22,infantcogubc:lf22,3,2,ADS,5,singlescreen,146,4.7967145790554415,3-6 mo,TRUE,M,TRUE,10.48,FALSE
infantstudiesubc,mbm10,infantstudiesubc:mbm10,2,2,ADS,5,hpp,227,7.457905544147844,6-9 mo,TRUE,M,TRUE,4.5045,FALSE
infantstudiesubc,mbm7,infantstudiesubc:mbm7,3,2,ADS,5,hpp,228,7.490759753593429,6-9 mo,TRUE,M,TRUE,7.874533333,FALSE
babylabumassb,mbpumb001122522,babylabumassb:mbpumb001122522,1,3,IDS,2,eyetracking,352,11.564681724845997,9-12 mo,TRUE,F,TRUE,10.2967,FALSE
babylabumassb,mbpumb007082569,babylabumassb:mbpumb007082569,3,3,ADS,7,eyetracking,256,8.410677618069816,6-9 mo,TRUE,F,TRUE,3.97,FALSE
babylabumassb,mbpumb029102634,babylabumassb:mbpumb029102634,1,3,IDS,2,eyetracking,291,9.560574948665298,9-12 mo,TRUE,M,TRUE,3.3267,FALSE
babylabumassb,mbpumb039112655,babylabumassb:mbpumb039112655,3,3,ADS,7,eyetracking,348,11.433264887063656,9-12 mo,TRUE,M,TRUE,3.9,FALSE
babylabutrecht,804,babylabutrecht:804,4,3,IDS,7,hpp,272,8.936344969199178,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylabutrecht,807,babylabutrecht:807,3,3,ADS,7,hpp,256,8.410677618069816,6-9 mo,FALSE,M,TRUE,3.789701,FALSE
babylabutrecht,808,babylabutrecht:808,4,3,IDS,7,hpp,248,8.147843942505133,6-9 mo,FALSE,M,TRUE,14.110999,FALSE
babylingoslo,os022,babylingoslo:os022,1,3,IDS,2,eyetracking,239,7.852156057494867,6-9 mo,FALSE,M,TRUE,2.68,FALSE
babylingoslo,os025,babylingoslo:os025,1,3,IDS,2,eyetracking,221,7.260780287474333,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os026,babylingoslo:os026,1,3,IDS,2,eyetracking,268,8.804928131416839,6-9 mo,FALSE,M,TRUE,3.19,FALSE
babylingoslo,os028,babylingoslo:os028,3,3,ADS,7,eyetracking,218,7.162217659137577,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os029,babylingoslo:os029,4,3,IDS,7,eyetracking,267,8.772073921971252,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os030,babylingoslo:os030,2,3,ADS,2,eyetracking,243,7.983572895277208,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os031,babylingoslo:os031,3,3,ADS,7,eyetracking,249,8.180698151950718,6-9 mo,FALSE,F,TRUE,6.56,FALSE
babylingoslo,os032,babylingoslo:os032,4,3,IDS,7,eyetracking,245,8.049281314168377,6-9 mo,FALSE,M,TRUE,8.11,FALSE
babylingoslo,os033,babylingoslo:os033,1,3,IDS,2,eyetracking,184,6.04517453798768,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os034,babylingoslo:os034,2,3,ADS,2,eyetracking,184,6.04517453798768,6-9 mo,FALSE,F,TRUE,4.07,FALSE
babylingoslo,os035,babylingoslo:os035,3,3,ADS,7,eyetracking,184,6.04517453798768,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os036,babylingoslo:os036,4,3,IDS,7,eyetracking,186,6.11088295687885,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os038,babylingoslo:os038,3,3,ADS,7,eyetracking,238,7.819301848049282,6-9 mo,FALSE,M,TRUE,4.49,FALSE
babylingoslo,os039,babylingoslo:os039,4,3,IDS,7,eyetracking,188,6.176591375770021,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os040,babylingoslo:os040,2,3,ADS,2,eyetracking,194,6.373716632443532,6-9 mo,FALSE,M,TRUE,2.06,FALSE
babylingoslo,os041,babylingoslo:os041,2,3,ADS,2,eyetracking,236,7.753593429158111,6-9 mo,FALSE,M,TRUE,NA,TRUE
cfnuofn,cflgts,cfnuofn:cflgts,2,3,ADS,2,eyetracking,387,12.714579055441478,12-15 mo,FALSE,F,TRUE,4.77,FALSE
cfnuofn,cfn007,cfnuofn:cfn007,2,3,ADS,2,eyetracking,205,6.7351129363449695,6-9 mo,FALSE,M,TRUE,NA,TRUE
cfnuofn,cfn008,cfnuofn:cfn008,4,3,IDS,7,eyetracking,192,6.308008213552362,6-9 mo,FALSE,F,TRUE,18,FALSE
cfnuofn,cfn017,cfnuofn:cfn017,2,3,ADS,2,eyetracking,188,6.176591375770021,6-9 mo,FALSE,F,TRUE,3.61,FALSE
cfnuofn,cfn020,cfnuofn:cfn020,1,3,IDS,2,eyetracking,178,5.848049281314168,3-6 mo,FALSE,F,TRUE,15.84,FALSE
cfnuofn,cfn025,cfnuofn:cfn025,3,3,ADS,7,eyetracking,190,6.242299794661191,6-9 mo,FALSE,F,TRUE,8.5,FALSE
cfnuofn,cfn047,cfnuofn:cfn047,3,3,ADS,7,eyetracking,371,12.188911704312115,12-15 mo,FALSE,M,TRUE,NA,TRUE
cfnuofn,cfnaew,cfnuofn:cfnaew,1,3,IDS,2,eyetracking,383,12.583162217659138,12-15 mo,FALSE,F,TRUE,4.07,FALSE
cfnuofn,cfnbfi12m,cfnuofn:cfnbfi12m,3,3,ADS,7,eyetracking,416,13.66735112936345,12-15 mo,FALSE,M,TRUE,5.89,FALSE
cfnuofn,cfngrn,cfnuofn:cfngrn,3,3,ADS,7,eyetracking,383,12.583162217659138,12-15 mo,FALSE,M,TRUE,NA,TRUE
cfnuofn,cfnjfl6m,cfnuofn:cfnjfl6m,4,3,IDS,7,eyetracking,195,6.406570841889117,6-9 mo,FALSE,M,TRUE,5.32,FALSE
cfnuofn,cfnkji,cfnuofn:cfnkji,4,3,IDS,7,eyetracking,406,13.338809034907598,12-15 mo,FALSE,F,TRUE,18,FALSE
cfnuofn,cfnois,cfnuofn:cfnois,3,3,ADS,7,eyetracking,190,6.242299794661191,6-9 mo,FALSE,M,TRUE,3.59,FALSE
cfnuofn,cfnuex,cfnuofn:cfnuex,2,3,ADS,2,eyetracking,392,12.878850102669405,12-15 mo,FALSE,M,TRUE,4.81,FALSE
cfnuofn,cfnxpp12,cfnuofn:cfnxpp12,3,3,ADS,7,eyetracking,391,12.845995893223819,12-15 mo,FALSE,F,TRUE,NA,TRUE
infantstudiesubc,mbm10,infantstudiesubc:mbm10,2,3,ADS,7,hpp,227,7.457905544147844,6-9 mo,TRUE,M,TRUE,11.47813333,FALSE
infantstudiesubc,mbm7,infantstudiesubc:mbm7,3,3,ADS,7,hpp,228,7.490759753593429,6-9 mo,TRUE,M,TRUE,15.2152,FALSE
babylabumassb,mbpumb001122522,babylabumassb:mbpumb001122522,1,4,ADS,2,eyetracking,352,11.564681724845997,9-12 mo,TRUE,F,TRUE,4.1967,FALSE
babylabumassb,mbpumb007082569,babylabumassb:mbpumb007082569,3,4,IDS,7,eyetracking,256,8.410677618069816,6-9 mo,TRUE,F,TRUE,6.54,FALSE
babylabumassb,mbpumb029102634,babylabumassb:mbpumb029102634,1,4,ADS,2,eyetracking,291,9.560574948665298,9-12 mo,TRUE,M,TRUE,2.4833,FALSE
babylabumassb,mbpumb039112655,babylabumassb:mbpumb039112655,3,4,IDS,7,eyetracking,348,11.433264887063656,9-12 mo,TRUE,M,TRUE,NA,TRUE
babylabutrecht,804,babylabutrecht:804,4,4,ADS,7,hpp,272,8.936344969199178,6-9 mo,FALSE,M,TRUE,3.490633,FALSE
babylabutrecht,807,babylabutrecht:807,3,4,IDS,7,hpp,256,8.410677618069816,6-9 mo,FALSE,M,TRUE,15.480292,FALSE
babylabutrecht,808,babylabutrecht:808,4,4,ADS,7,hpp,248,8.147843942505133,6-9 mo,FALSE,M,TRUE,6.049654,FALSE
babylingoslo,os022,babylingoslo:os022,1,4,ADS,2,eyetracking,239,7.852156057494867,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os025,babylingoslo:os025,1,4,ADS,2,eyetracking,221,7.260780287474333,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os026,babylingoslo:os026,1,4,ADS,2,eyetracking,268,8.804928131416839,6-9 mo,FALSE,M,TRUE,2.85,FALSE
babylingoslo,os028,babylingoslo:os028,3,4,IDS,7,eyetracking,218,7.162217659137577,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os030,babylingoslo:os030,2,4,IDS,2,eyetracking,243,7.983572895277208,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os031,babylingoslo:os031,3,4,IDS,7,eyetracking,249,8.180698151950718,6-9 mo,FALSE,F,TRUE,8.32,FALSE
babylingoslo,os032,babylingoslo:os032,4,4,ADS,7,eyetracking,245,8.049281314168377,6-9 mo,FALSE,M,TRUE,8.01,FALSE
babylingoslo,os033,babylingoslo:os033,1,4,ADS,2,eyetracking,184,6.04517453798768,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os034,babylingoslo:os034,2,4,IDS,2,eyetracking,184,6.04517453798768,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os035,babylingoslo:os035,3,4,IDS,7,eyetracking,184,6.04517453798768,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os036,babylingoslo:os036,4,4,ADS,7,eyetracking,186,6.11088295687885,6-9 mo,FALSE,F,TRUE,NA,TRUE
babylingoslo,os038,babylingoslo:os038,3,4,IDS,7,eyetracking,238,7.819301848049282,6-9 mo,FALSE,M,TRUE,5.57,FALSE
babylingoslo,os039,babylingoslo:os039,4,4,ADS,7,eyetracking,188,6.176591375770021,6-9 mo,FALSE,M,TRUE,NA,TRUE
babylingoslo,os040,babylingoslo:os040,2,4,IDS,2,eyetracking,194,6.373716632443532,6-9 mo,FALSE,M,TRUE,2.73,FALSE
babylingoslo,os041,babylingoslo:os041,2,4,IDS,2,eyetracking,236,7.753593429158111,6-9 mo,FALSE,M,TRUE,NA,TRUE
cfnuofn,cflgts,cfnuofn:cflgts,2,4,IDS,2,eyetracking,387,12.714579055441478,12-15 mo,FALSE,F,TRUE,5.59,FALSE
cfnuofn,cfn007,cfnuofn:cfn007,2,4,IDS,2,eyetracking,205,6.7351129363449695,6-9 mo,FALSE,M,TRUE,NA,TRUE
cfnuofn,cfn008,cfnuofn:cfn008,4,4,ADS,7,eyetracking,192,6.308008213552362,6-9 mo,FALSE,F,TRUE,12.38,FALSE
cfnuofn,cfn017,cfnuofn:cfn017,2,4,IDS,2,eyetracking,188,6.176591375770021,6-9 mo,FALSE,F,TRUE,4.35,FALSE
cfnuofn,cfn020,cfnuofn:cfn020,1,4,ADS,2,eyetracking,178,5.848049281314168,3-6 mo,FALSE,F,TRUE,15.47,FALSE
